model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.03 $\pm$ 0.00,0.03 $\pm$ 0.00,0.04 $\pm$ 0.01,0.05 $\pm$ 0.02,0.02 $\pm$ 0.01,0.04 $\pm$ 0.01
ComplementNB,RakelD Partitioning of labels,0.01 $\pm$ 0.00,0.01 $\pm$ 0.00,0.01 $\pm$ 0.01,0.03 $\pm$ 0.00,0.03 $\pm$ 0.02,0.05 $\pm$ 0.00
KNN,BorderlineSMOTE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
KNN,No Upsampling,0.05 $\pm$ 0.03,0.04 $\pm$ 0.00,0.04 $\pm$ 0.01,0.05 $\pm$ 0.01,0.03 $\pm$ 0.01,0.06 $\pm$ 0.01
KNN,Random Oversampling,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.00
KNN,SMOTE,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
KNN,SVMSMOTE,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.00,0.00 $\pm$ 0.00
LinearSVM,BorderlineSMOTE,0.02 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00
LinearSVM,No Upsampling,0.01 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.01 $\pm$ 0.00,0.00 $\pm$ 0.00,0.02 $\pm$ 0.02
LinearSVM,RakelD Partitioning of labels,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.00 $\pm$ 0.00,0.02 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.00
LinearSVM,Random Oversampling,0.01 $\pm$ 0.00,0.02 $\pm$ 0.02,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01
LinearSVM,SMOTE,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01
LogisticRegression,BorderlineSMOTE,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.01 $\pm$ 0.01,0.03 $\pm$ 0.00,0.01 $\pm$ 0.00,0.03 $\pm$ 0.01
LogisticRegression,No Upsampling,0.00 $\pm$ 0.00,0.02 $\pm$ 0.00,0.02 $\pm$ 0.01,0.02 $\pm$ 0.00,0.02 $\pm$ 0.02,0.06 $\pm$ 0.01
LogisticRegression,Random Oversampling,0.00 $\pm$ 0.00,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.02 $\pm$ 0.02,0.05 $\pm$ 0.02
LogisticRegression,SMOTE,0.01 $\pm$ 0.00,0.02 $\pm$ 0.00,0.02 $\pm$ 0.01,0.03 $\pm$ 0.01,0.03 $\pm$ 0.02,0.04 $\pm$ 0.01
LogisticRegression,SVMSMOTE,0.01 $\pm$ 0.00,0.02 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.00,0.02 $\pm$ 0.01,0.03 $\pm$ 0.02
LogisticRegressionElasticNet,BorderlineSMOTE,0.00 $\pm$ 0.00,0.01 $\pm$ 0.00,0.01 $\pm$ 0.01,0.02 $\pm$ 0.01,0.02 $\pm$ 0.02,0.01 $\pm$ 0.01
LogisticRegressionElasticNet,No Upsampling,0.00 $\pm$ 0.00,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00,0.02 $\pm$ 0.02,0.01 $\pm$ 0.01,0.00 $\pm$ 0.00
