language,model_type,model_subtype,model_name,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Binary Relevance kNN,Natively Multilabel,BRkNNaClassifier,0.58 $\pm$ 0.00,0.63 $\pm$ 0.03,0.67 $\pm$ 0.02,0.66 $\pm$ 0.03,0.68 $\pm$ 0.02,0.70 $\pm$ 0.02
en,Binary Relevance kNN,Natively Multilabel,BRkNNbClassifier,0.28 $\pm$ 0.06,0.27 $\pm$ 0.00,0.25 $\pm$ 0.01,0.26 $\pm$ 0.01,0.28 $\pm$ 0.01,0.27 $\pm$ 0.02
en,ComplementNB,RakelD Partitioning of labels,RakelD_ComplementNB,0.60 $\pm$ 0.02,0.66 $\pm$ 0.01,0.69 $\pm$ 0.02,0.67 $\pm$ 0.02,0.67 $\pm$ 0.02,0.68 $\pm$ 0.01
en,KNN,BorderlineSMOTE,kNN_BorderlineSMOTE,0.55 $\pm$ 0.00,0.61 $\pm$ 0.02,0.60 $\pm$ 0.02,0.61 $\pm$ 0.02,0.60 $\pm$ 0.01,0.61 $\pm$ 0.01
en,KNN,No Upsampling,kNN,0.63 $\pm$ 0.03,0.63 $\pm$ 0.00,0.65 $\pm$ 0.02,0.69 $\pm$ 0.02,0.70 $\pm$ 0.07,0.72 $\pm$ 0.04
en,KNN,Random Oversampling,kNN_ROS,0.55 $\pm$ 0.02,0.59 $\pm$ 0.01,0.59 $\pm$ 0.02,0.61 $\pm$ 0.02,0.61 $\pm$ 0.01,0.63 $\pm$ 0.01
en,KNN,SMOTE,kNN_SMOTE,0.57 $\pm$ 0.01,0.60 $\pm$ 0.02,0.59 $\pm$ 0.01,0.61 $\pm$ 0.02,0.61 $\pm$ 0.02,0.62 $\pm$ 0.02
en,KNN,SVMSMOTE,kNN_SVMSMOTE,0.56 $\pm$ 0.01,0.61 $\pm$ 0.00,0.62 $\pm$ 0.02,0.62 $\pm$ 0.02,0.62 $\pm$ 0.02,0.63 $\pm$ 0.00
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_BorderlineSMOTE,0.58 $\pm$ 0.01,0.62 $\pm$ 0.01,0.64 $\pm$ 0.03,0.65 $\pm$ 0.01,0.65 $\pm$ 0.02,0.67 $\pm$ 0.01
en,LinearSVM,BorderlineSMOTE,LinearSVMDual_SVMSMOTE,0.59 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.01,0.66 $\pm$ 0.02,0.66 $\pm$ 0.00,0.69 $\pm$ 0.01
en,LinearSVM,No Upsampling,LinearSVMDual,0.57 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.02,0.65 $\pm$ 0.01,0.65 $\pm$ 0.02,0.66 $\pm$ 0.01
en,LinearSVM,RakelD Partitioning of labels,RakelD_LineaSVM,0.57 $\pm$ 0.01,0.63 $\pm$ 0.01,0.64 $\pm$ 0.02,0.65 $\pm$ 0.01,0.66 $\pm$ 0.02,0.68 $\pm$ 0.02
en,LinearSVM,Random Oversampling,LinearSVMDual_ROS,0.57 $\pm$ 0.01,0.63 $\pm$ 0.01,0.65 $\pm$ 0.02,0.65 $\pm$ 0.01,0.67 $\pm$ 0.02,0.66 $\pm$ 0.01
en,LinearSVM,SMOTE,LinearSVMDual_SMOTE,0.58 $\pm$ 0.01,0.63 $\pm$ 0.01,0.65 $\pm$ 0.01,0.64 $\pm$ 0.01,0.67 $\pm$ 0.02,0.66 $\pm$ 0.01
en,LogisticRegression,BorderlineSMOTE,LogisticRegression_BorderlineSMOTE,0.54 $\pm$ 0.00,0.61 $\pm$ 0.01,0.59 $\pm$ 0.02,0.61 $\pm$ 0.01,0.64 $\pm$ 0.02,0.66 $\pm$ 0.01
en,LogisticRegression,No Upsampling,LogisticRegression,0.56 $\pm$ 0.01,0.62 $\pm$ 0.02,0.61 $\pm$ 0.01,0.64 $\pm$ 0.01,0.67 $\pm$ 0.03,0.68 $\pm$ 0.01
