language,model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
en,Dummy Classifier,No Upsampling,0.000,0.000,0.000,0.000,0.000,0.000
en,KNN,BorderlineSMOTE,0.000,0.000,0.000,0.000,0.000,0.000
en,KNN,No Upsampling,0.039,0.000,0.010,0.019,0.010,0.029
en,KNN,Random Oversampling,0.019,0.000,0.000,0.010,0.000,0.000
en,KNN,SMOTE,0.000,0.000,0.000,0.000,0.000,0.000
en,KNN,SVMSMOTE,0,0.000,0.000,0.000,0.000,0.000
en,LinearSVM,BorderlineSMOTE,0.039,0.058,0.087,0.107,0.117,0.107
en,LinearSVM,No Upsampling,0.078,0.058,0.087,0.107,0.117,0.107
en,LinearSVM,Random Oversampling,0.078,0.058,0.087,0.107,0.117,0.107
en,LinearSVM,SMOTE,0.019,0.058,0.087,0.107,0.117,0.107
en,LogisticRegression,BorderlineSMOTE,0.068,0.068,0.068,0.097,0.117,0.097
en,LogisticRegression,No Upsampling,0.078,0.049,0.097,0.097,0.107,0.107
en,LogisticRegression,Random Oversampling,0.078,0.049,0.078,0.078,0.117,0.097
en,LogisticRegression,SMOTE,0.039,0.039,0.078,0.097,0.107,0.097
en,LogisticRegression,SVMSMOTE,0.058,0.029,0.068,0.068,0.087,0.087
en,LogisticRegressionElasticNet,BorderlineSMOTE,0.068,0.078,0.049,0.087,0.107,0.087
en,LogisticRegressionElasticNet,No Upsampling,0.068,0.087,0.068,0.087,0.117,0.097
en,LogisticRegressionElasticNet,Random Oversampling,0.068,0.078,0.068,0.087,0.087,0.068
en,LogisticRegressionElasticNet,SMOTE,0.058,0.068,0.068,0.087,0.087,0.107
en,LogisticRegressionElasticNet,SVMSMOTE,0.097,0.068,0.078,0.078,0.078,0.078
en,LogisticRegressionLasso,BorderlineSMOTE,0.078,0.039,0.097,0.049,0.087,0.049
en,LogisticRegressionLasso,No Upsampling,0.078,0.049,0.097,0.049,0.068,0.068
en,LogisticRegressionLasso,Random Oversampling,0.078,0.049,0.078,0.049,0.068,0.039
en,LogisticRegressionLasso,SMOTE,0.078,0.049,0.078,0.049,0.078,0.068
en,LogisticRegressionLasso,SVMSMOTE,0.068,0.068,0.078,0.039,0.068,0.058
en,LogisticRegressionRidge,BorderlineSMOTE,0.087,0.058,0.087,0.107,0.107,0.097
en,LogisticRegressionRidge,No Upsampling,0.078,0.068,0.097,0.107,0.087,0.117
en,LogisticRegressionRidge,Random Oversampling,0.078,0.058,0.087,0.097,0.097,0.107
en,LogisticRegressionRidge,SMOTE,0.068,0.068,0.087,0.107,0.107,0.097
en,LogisticRegressionRidge,SVMSMOTE,0.058,0.049,0.087,0.097,0.097,0.087
en,NaiveBayes,BorderlineSMOTE,0.049,0.049,0.078,0.058,0.068,0.029
en,NaiveBayes,No Upsampling,0.068,0.117,0.136,0.117,0.117,0.117
en,NaiveBayes,Random Oversampling,0.029,0.029,0.039,0.039,0.019,0.039
en,NaiveBayes,SMOTE,0.010,0.058,0.039,0.049,0.029,0.029
