model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
KNN,BorderlineSMOTE,0.317,0.274,0.257,0.309,0.348,0.470
KNN,No Upsampling,0.365,0.287,0.257,0.283,0.270,0.396
KNN,Random Oversampling,0.213,0.135,0.161,**0.661**,0.313,0.400
KNN,SMOTE,0.100,0.235,0.161,0.348,0.283,0.465
KNN,SVMSMOTE,0.357,0.343,0.257,0.296,0.161,0.443
LinearSVM,BorderlineSMOTE,0.443,0.387,0.457,0.430,0.365,0.530
LinearSVM,No Upsampling,0.426,0.413,0.430,0.435,0.365,0.461
LinearSVM,Random Oversampling,0.409,0.409,0.409,0.448,0.361,0.452
LinearSVM,SMOTE,0.378,0.383,0.448,0.417,0.365,0.461
LogisticRegression,BorderlineSMOTE,0.426,0.443,0.430,0.517,0.474,0.565
LogisticRegression,No Upsampling,0.370,0.370,0.370,0.435,0.361,0.457
LogisticRegression,Random Oversampling,0.374,0.370,0.396,0.422,0.370,0.465
LogisticRegression,SMOTE,0.365,0.370,0.370,0.422,0.365,0.448
LogisticRegression,SVMSMOTE,0.430,0.426,0.383,0.400,0.365,0.461
LogisticRegressionElasticNet,BorderlineSMOTE,0.374,0.422,0.439,0.461,0.430,0.522
LogisticRegressionElasticNet,No Upsampling,0.348,0.374,0.404,0.422,0.422,0.465
LogisticRegressionElasticNet,Random Oversampling,0.400,0.361,0.400,0.409,0.417,0.452
LogisticRegressionElasticNet,SMOTE,0.200,0.365,0.391,0.417,0.400,0.426
LogisticRegressionElasticNet,SVMSMOTE,0.257,0.378,0.391,0.409,0.422,0.470
LogisticRegressionLasso,BorderlineSMOTE,0.287,0.439,0.474,0.452,0.457,0.465
LogisticRegressionLasso,No Upsampling,0.291,0.435,0.465,0.417,0.452,0.443
LogisticRegressionLasso,Random Oversampling,0.348,0.439,0.452,0.422,0.426,0.452
LogisticRegressionLasso,SMOTE,0.300,0.326,0.396,0.435,0.426,0.430
LogisticRegressionLasso,SVMSMOTE,0.291,0.413,0.426,0.413,0.461,0.474
LogisticRegressionRidge,BorderlineSMOTE,0.404,0.409,0.435,0.448,0.409,0.509
LogisticRegressionRidge,No Upsampling,0.422,0.417,0.452,0.426,0.400,0.465
LogisticRegressionRidge,Random Oversampling,0.404,0.374,0.413,0.448,0.383,0.461
LogisticRegressionRidge,SMOTE,0.396,0.383,0.400,0.478,0.413,0.461
LogisticRegressionRidge,SVMSMOTE,0.435,0.304,0.391,0.413,0.365,0.465
NaiveBayes,BorderlineSMOTE,0.561,0.452,0.439,0.435,0.470,0.396
NaiveBayes,No Upsampling,0.557,0.400,0.357,0.374,0.452,0.370
NaiveBayes,Random Oversampling,0.557,0.491,0.439,0.383,0.452,0.378
NaiveBayes,SMOTE,0.530,0.422,0.378,0.370,0.470,0.526
NaiveBayes,SVMSMOTE,0.557,0.374,0.365,0.374,0.391,0.370
RandomForest,BorderlineSMOTE,0.265,0.309,0.387,0.404,0.200,0.357
RandomForest,No Upsampling,0.478,0.526,0.565,0.509,0.522,0.509
RandomForest,Random Oversampling,0.087,0.322,0.204,0.343,0.143,0.335
RandomForest,SMOTE,0.248,0.265,0.304,0.361,0.257,0.339
RandomForest,SVMSMOTE,0.209,0.300,0.352,0.352,0.235,0.352
RidgeClassifier,BorderlineSMOTE,0.400,0.413,0.391,0.422,0.404,0.465
RidgeClassifier,No Upsampling,0.387,0.413,0.400,0.413,0.361,0.426
RidgeClassifier,Random Oversampling,0.383,0.409,0.370,0.409,0.357,0.430
RidgeClassifier,SMOTE,0.417,0.409,0.378,0.404,0.361,0.417
RidgeClassifier,SVMSMOTE,0.443,0.396,0.404,0.387,0.391,0.465
SVM,BorderlineSMOTE,0.513,0.370,0.474,0.465,0.474,0.483
SVM,No Upsampling,0.504,0.491,0.452,0.487,0.461,0.491
SVM,Random Oversampling,0.504,0.452,0.413,0.430,0.452,0.483
SVM,SMOTE,0.496,0.409,0.361,0.409,0.452,0.470
SVM,SVMSMOTE,0.413,0.413,0.400,0.383,0.457,0.457
XGBoost,BorderlineSMOTE,0.522,0.526,0.474,0.543,0.517,0.565
XGBoost,No Upsampling,0.513,0.548,0.526,0.574,0.526,0.557
XGBoost,Random Oversampling,0.470,0.548,0.513,0.504,0.517,0.487
XGBoost,SMOTE,0.443,0.448,0.491,0.522,0.513,0.478
XGBoost,SVMSMOTE,0.370,0.500,0.509,0.530,0.530,0.570
