model_type,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,0.16 $\pm$ 0.04,0.21 $\pm$ 0.01,0.12 $\pm$ 0.01,0.15 $\pm$ 0.04,0.10 $\pm$ 0.00,0.11 $\pm$ 0.01
ComplementNB,0.41 $\pm$ 0.00,0.41 $\pm$ 0.01,0.40 $\pm$ 0.01,0.41 $\pm$ 0.01,0.43 $\pm$ 0.01,0.44 $\pm$ 0.02
Dummy Classifier,0.40 $\pm$ 0.02,0.37 $\pm$ 0.03,0.36 $\pm$ 0.02,0.37 $\pm$ 0.04,0.38 $\pm$ 0.02,0.38 $\pm$ 0.02
KNN,0.46 $\pm$ 0.03,0.45 $\pm$ 0.04,0.47 $\pm$ 0.02,0.48 $\pm$ 0.02,0.43 $\pm$ 0.02,0.47 $\pm$ 0.02
LinearSVM,0.40 $\pm$ 0.02,0.41 $\pm$ 0.01,0.38 $\pm$ 0.01,0.39 $\pm$ 0.02,0.44 $\pm$ 0.01,0.46 $\pm$ 0.01
LogisticRegression,0.40 $\pm$ 0.02,0.40 $\pm$ 0.02,0.38 $\pm$ 0.02,0.40 $\pm$ 0.03,0.44 $\pm$ 0.02,0.47 $\pm$ 0.01
LogisticRegressionElasticNet,0.40 $\pm$ 0.03,0.42 $\pm$ 0.00,0.41 $\pm$ 0.01,0.44 $\pm$ 0.01,0.47 $\pm$ 0.02,0.51 $\pm$ 0.02
LogisticRegressionLasso,0.33 $\pm$ 0.03,0.38 $\pm$ 0.01,0.38 $\pm$ 0.01,0.41 $\pm$ 0.01,0.40 $\pm$ 0.03,0.45 $\pm$ 0.01
LogisticRegressionRidge,0.38 $\pm$ 0.01,0.38 $\pm$ 0.01,0.36 $\pm$ 0.02,0.39 $\pm$ 0.01,0.40 $\pm$ 0.02,0.44 $\pm$ 0.01
Multi-label ARAM,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00,0.08 $\pm$ 0.00
Multilabel k Nearest Neighbours,0.38 $\pm$ 0.02,0.28 $\pm$ 0.05,0.31 $\pm$ 0.03,0.29 $\pm$ 0.06,0.22 $\pm$ 0.08,0.32 $\pm$ 0.02
NaiveBayes,0.47 $\pm$ 0.03,0.50 $\pm$ 0.01,0.53 $\pm$ 0.02,0.55 $\pm$ 0.01,0.55 $\pm$ 0.01,**0.59 $\pm$ 0.00**
RandomForest,0.29 $\pm$ 0.02,0.31 $\pm$ 0.02,0.31 $\pm$ 0.02,0.37 $\pm$ 0.01,0.34 $\pm$ 0.01,0.42 $\pm$ 0.02
RidgeClassifier,0.39 $\pm$ 0.01,0.38 $\pm$ 0.02,0.37 $\pm$ 0.02,0.39 $\pm$ 0.01,0.40 $\pm$ 0.01,0.44 $\pm$ 0.01
SVM,0.34 $\pm$ 0.03,0.11 $\pm$ 0.02,0.10 $\pm$ 0.01,0.14 $\pm$ 0.05,0.23 $\pm$ 0.01,0.29 $\pm$ 0.01
XGBoost,0.35 $\pm$ 0.02,0.37 $\pm$ 0.02,0.38 $\pm$ 0.02,0.40 $\pm$ 0.01,0.41 $\pm$ 0.02,0.45 $\pm$ 0.01
