model_type,model_subtype,title,title and first paragraph,title and 5 sentences,title and 10 sentences,title and first sentence each paragraph,raw text
Binary Relevance kNN,Natively Multilabel,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00,0.09 $\pm$ 0.00
ComplementNB,RakelD Partitioning of labels,0.33 $\pm$ 0.00,0.33 $\pm$ 0.02,0.38 $\pm$ 0.03,0.39 $\pm$ 0.01,0.40 $\pm$ 0.04,0.36 $\pm$ 0.00
Dummy Classifier,No Upsampling,0.30 $\pm$ 0.01,0.29 $\pm$ 0.02,0.26 $\pm$ 0.01,0.28 $\pm$ 0.01,0.27 $\pm$ 0.02,0.30 $\pm$ 0.01
KNN,BorderlineSMOTE,0.34 $\pm$ 0.01,0.34 $\pm$ 0.03,0.34 $\pm$ 0.00,0.34 $\pm$ 0.01,0.34 $\pm$ 0.01,0.34 $\pm$ 0.01
KNN,No Upsampling,0.11 $\pm$ 0.01,0.09 $\pm$ 0.02,0.15 $\pm$ 0.04,0.10 $\pm$ 0.03,0.07 $\pm$ 0.03,0.06 $\pm$ 0.03
KNN,Random Oversampling,0.30 $\pm$ 0.02,0.22 $\pm$ 0.03,0.33 $\pm$ 0.04,0.28 $\pm$ 0.01,0.23 $\pm$ 0.01,0.25 $\pm$ 0.06
KNN,SMOTE,0.35 $\pm$ 0.01,0.36 $\pm$ 0.01,0.36 $\pm$ 0.01,0.35 $\pm$ 0.01,0.36 $\pm$ 0.01,0.35 $\pm$ 0.01
LinearSVM,BorderlineSMOTE,0.29 $\pm$ 0.02,0.30 $\pm$ 0.02,0.31 $\pm$ 0.02,0.31 $\pm$ 0.00,0.36 $\pm$ 0.01,0.36 $\pm$ 0.02
LinearSVM,No Upsampling,0.29 $\pm$ 0.02,0.30 $\pm$ 0.02,0.31 $\pm$ 0.02,0.31 $\pm$ 0.00,0.36 $\pm$ 0.01,0.36 $\pm$ 0.02
LinearSVM,RakelD Partitioning of labels,0.29 $\pm$ 0.03,0.31 $\pm$ 0.02,0.32 $\pm$ 0.02,0.33 $\pm$ 0.01,0.36 $\pm$ 0.04,0.36 $\pm$ 0.02
LinearSVM,Random Oversampling,0.29 $\pm$ 0.02,0.30 $\pm$ 0.02,0.31 $\pm$ 0.02,0.31 $\pm$ 0.00,0.36 $\pm$ 0.01,0.36 $\pm$ 0.02
LinearSVM,SMOTE,0.29 $\pm$ 0.02,0.30 $\pm$ 0.02,0.31 $\pm$ 0.02,0.31 $\pm$ 0.00,0.36 $\pm$ 0.01,0.36 $\pm$ 0.02
LogisticRegression,BorderlineSMOTE,0.29 $\pm$ 0.01,0.30 $\pm$ 0.02,0.31 $\pm$ 0.02,0.30 $\pm$ 0.01,0.36 $\pm$ 0.01,0.36 $\pm$ 0.01
LogisticRegression,No Upsampling,0.28 $\pm$ 0.02,0.32 $\pm$ 0.02,0.31 $\pm$ 0.02,0.31 $\pm$ 0.02,0.34 $\pm$ 0.02,0.32 $\pm$ 0.00
LogisticRegression,Random Oversampling,0.30 $\pm$ 0.02,0.31 $\pm$ 0.01,0.31 $\pm$ 0.02,0.30 $\pm$ 0.01,0.38 $\pm$ 0.01,0.38 $\pm$ 0.01
LogisticRegression,SMOTE,0.29 $\pm$ 0.03,0.30 $\pm$ 0.02,0.31 $\pm$ 0.02,0.30 $\pm$ 0.01,0.37 $\pm$ 0.02,0.36 $\pm$ 0.02
LogisticRegression,SVMSMOTE,0,0.31 $\pm$ 0.01,0,0,0,0.34 $\pm$ 0.01
LogisticRegressionElasticNet,BorderlineSMOTE,0.30 $\pm$ 0.03,0.31 $\pm$ 0.03,0.33 $\pm$ 0.03,0.36 $\pm$ 0.03,0.36 $\pm$ 0.01,0.42 $\pm$ 0.02
LogisticRegressionElasticNet,No Upsampling,0.28 $\pm$ 0.03,0.28 $\pm$ 0.02,0.29 $\pm$ 0.01,0.30 $\pm$ 0.02,0.35 $\pm$ 0.02,0.37 $\pm$ 0.02
LogisticRegressionElasticNet,Random Oversampling,0.31 $\pm$ 0.02,0.33 $\pm$ 0.03,0.35 $\pm$ 0.02,0.39 $\pm$ 0.02,0.38 $\pm$ 0.02,0.43 $\pm$ 0.03
